"names","descr"
"The Ned Waihopai River Sauvignon Blanc 2016/2017 Marlborough","Aromas of nettles and grass leads to generous gooseberry flavours with a smoky herbal twist on the palate. Drink now with fresh summer salads,  seafood or oriental food."
"Porta 6 2015/2016 Lisboa","As seen on TV. Quintessentially Portuguese red, offering plenty of warm, jammy forest fruit flavours."
"Porta 6 Vinho Verde","Supremely fresh, delicate, and low in alcohol to boot, the Porta 6 Vinho Verde is a perfect example of this famous Portuguese winestyle."
"Mcon-Lugny 2015/2016 Louis Latour","Aromas of fresh apples, lemon curd and toasted citrus fruits atop a palate of fresh and crisp green-apple acidity, buttery and peachy fruit and a long, warming finish. Try with Salmon."
"Rioja Reserva Via Ardanza 2007/2008 La Rioja Alta","Complex and perfumed primary and secondary aromas of earth, spice and red fruits with a long, elegantly structured medium weight body of spicy tannins and layers of flavour. Perfect with lamb."
"Ben Marco Malbec 2016/17 Dominio del Plata, Mendoza","Deep red, with complex aromas of ripe red fruits. Cherry, currants and blackberries combine with notes of vanilla and coffee. This expressive wine has firm, sweet tannins giving a delightful finish."
"Oyster Bay Sauvignon Blanc 2016 Marlborough","Showing pronounced aromas of gooseberry and tropical fruits, alongside a subtle herbaceousness. Crisp, elegant and refreshing."
"Rioja Reserva 2011/12 Via Alarde","Deep ruby red, with delicious vanilla overtones backed up by juicy soft strawberry and morello cherry flavours."
"Graham Norton's Own Sauvignon Blanc 2016 Marlborough","Graham's special blend manages to successfully marry the tropical flavours of Wairu with the more herbaceous characteristics of Atawere."
"Devil's Creek Marlborough Sauvignon Blanc 2016","Made exclusively for Majestic by the multi award winning Foley Family Wines this burst with passionfruit, gooseberry and peach flavours."
"Mcon-Villages Blanc 'Les Pierres Blanches' 2016 Cave de Lugny","Apple and citrus  predominate on the palate along with a hint of pear, finishing on a lovely mineral streak. Great with seafood, whole salmon or chicken."
"Olivier Dubois Cuve Prestige Sauvignon Blanc 2016","Touraine is very well know and widely sold and appreciated! Powerhouse of the Loire valley"
"Corolla Nero d'Avola 2016 Sicily","Made in a modern style, with an emphasis on fruit, providing a pleasing texture."
"Santa Ana Malbec 2017 Mendoza","Plum and cherry characters predominate on both nose and palate. Medium-bodied, with supple tannins and a pleasantly soft finish. Perfect with beef."
"Ctes du Rhne Belleruche 2016 M.Chapoutier","Soft and round on the palate with smooth tannin, rich blackberry and cherry fruit, hints of liquorice and a substantial finish. Enjoy with lamb."
"Chteau La Douce 2015, Mdoc","The 100% Merlot blend here makes for a juicy wine with flavours of chocolate and cherry, and can be enjoyed at a young age."
"Pouilly Fume Pierre Marchand","This classic Pouilly Fume displays elements of gooseberry, citrus and apple with a  fine, cleansing acidity and a delicious hint of smoke on the long finish."
"Silver Ghost Sauvignon Blanc 2017 Central Valley","Invitingly fruity, offering a juicy citrus and gooseberry backbone overlaid with notes of fresh green apples."
"Rioja Reserva 2013 CVNE","A soft luxurious wine, mid garnet in colour with a lovely brambly nose and a hint of spice. Nuances of warm leather, caramel and coffee over rich autumn fruit.  Excellent balance and a long finish."
"Nyetimber Classic Cuve NV England","Elegantly shaped and supremely poised. The ultimate home-grown alternative to Champagne, for all special occasions."
"The Ned Pinot Grigio 2016/2017 Marlborough","A nose of pear drop, blossom and nectarine leading to a palate that is softer, richer and more tropical in flavour than its European counterpart. Lovely purity of fruit with a smooth finish."
"Ctes du Rhne 2015 Vidal-Fleury","Brilliant garnet in colour, with a classic Rhne nose of bramble fruits and heady spice. The medium-bodied palate has fresh and snappy red fruit surrounded by firm and persistent tannins."
"Villa Maria Private Bin Sauvignon Blanc 2017/2016 Marlborough","A medley of intense, ripe herbaceous characters on the nose, followed by rich gooseberry, lime and tropical fruit characteristics on the palate."
"Bouvet Ladubay Saumur NV France","Fruity aromas and florals on the nose. Fine and persistent  bubbles. Honeysuckle, acacia and bruised apples on the palate. Very elegant. A surprisingly good match for fish and chips."
"M de Minuty Ros 2016 Ctes de Provence","Pale honeysuckle pink, and offering a clean nose of citrus fruit, offset by subtle floral and candied notes. Fresh acidity makes for a an incisive and lively palate, with a rounded feel."
"Arc de Pedra Priorat 2016","Deep cherry red in colour with purple hints, it has a nose of black fruits, vanilla and toasted almonds."
"Porta 6 Reserva 2015","Porta 6 Reserva - it has all the hallmarks of the original but is a bit richer, smoother and we think, even more delicious."
"First Class Pinot Noir 2015 Bio Bio Valley","Jam-packed with red fruits on both nose and palate, this Pinot Noir is awash with raspberry, strawberry and redcurrant fruit, framed by supple tannins."
"Montagny 1er Cru 'Les Millires' 2016 Cave des Vignerons de Buxy","A delicious, fresh Chardonnay which has been fermented and matured in stainless steel tanks to preserve the pure peach, pear and acacia aromas. Enjoy with cold cuts of ham, cheese or whole salmon."
"Passimento 2015 Pasqua","A dense and deeply coloured wine, full of concentrated black and red cherry flavour, and hints of leather and spice. The palate has a layered texture, with muscular tannins providing a long finish."
"Baron Edmond de Rothschild Montagne St Emilion","Deep red in colour, dark berries, cassis and hints of spice, good body, very smooth, dark berry filled palate, lingering quite dry finish. "
"Villemarin Picpoul de Pinet 2016 Cteaux du Languedoc","Youthfully pale lemon yellow, with a nose of lemon and lime fruit, and an intriguing blend of white blossom and green herb notes. Vibrant green apple fruit with a refreshingly dry and acidic finish."
"Definition Rioja Reserva 2010","As seen on TV. Our Rioja Reserva, for which we searched long and hard. Soft flavour of blackcurrant, vanilla, leather and toasted cedar."
"Porta 6 Ros 2017","Bursting with summer berry fruit flavours with a delightfully dry finish this is a perfect taste of Summer in a glass. "
"Silver Ghost Cabernet Sauvignon 2016 Central Valley","A fruit-driven style of Cabernet that offers rounded, ripe red berry fruit with a plummy and easy-going feel."
"Marea Syrah 2012","This is a deep and complex wine that shows the best of modern Chilean winemaking pair with game or roast beef for an indulgent treat."
"Rioja Reserva 2013 Marqus de Riscal","A classic Rioja Reserva. Full bodied and muscular, yet smoothly polished and embellished with complex aromas of vanilla and toasted oak, combined with summer fruit flavours."
"Chteau Caronne Ste-Gemme 2012 Haut-Mdoc","A bright nose of red fruit with a perfumed edge follows onto the palate with added nuances of smoke, black pepper and subtle oak. Perfect with roasted goose or beef."
"Wakefield Estate Shiraz 2016 Clare Valley","Aromas of stewed plum, blackberry and violets and the palate is inviting, filled with ground coffee, vanilla and clove characters mingling with ripe blackcurrant fruit. Great with venison or beef."
"Alamos Uco Valley Malbec 2016/17","This wine is all about bright red and black berry fruits.  It is soft and harmonious with just a touch of spice on the smooth finish."
"Beefsteak Club Malbec 2016 Mendoza","Deep and vibrant Malbec. Lush and layered on the palate, with well-integrated oak and plenty of fine tannins."
"Acacia Road Merlot","This is smooth and full of juicy dark fruit flavours typical of the best wines coming out of South Africa."
"Montepulciano d'Abruzzo 2015 Masciarelli","The palate frames blackcurrant and damson fruit with taut tannins and notes of liquorice and spice. Best served with tomato-based pasta dishes."
"Albario Martn Cdax 2016 Ras Baixas","Delicate peachy aromas with hints of spice, herbs and traces of sweet fruits, a fresh and crisp palate rounded by hints of honey, peaches and stone fruits, a medium body and with a floral finish."
"Majestic Loves Fizz","From Sicily this is  fresh and fruity. Italian fizz at it's best."
"Chteau Maume 2013 Bordeaux Suprieur","A nose of fruitcake, spice and ripe, plummy fruit. Soft and rich on the palate, with blackcurrants, plum, and smoky cedarwood. Try with roast beef or goose."
"Villa Maria Cellar Selection Sauvignon Blanc 2016 Marlborough","Displays pronounced aromas of gooseberry and passion fruit on the nose. It is fresh and beautifully crisp on the palate while being vibrantly fruity, ending in a long zingy finish."
"Rioja Crianza 2014 CVNE","A lively cherry-red appearance leading to a nose of light summer fruits."
"Rioja Gran Reserva 2009 Via Alarde","A classic Rioja in style, both full-bodied and meaty, entwined with a smooth richness throughout the palate. Enjoy with roast lamb."
"Mud House Sauvignon Blanc 2016/17 Marlborough","Crisp, concentrated and vibrant on the palate, combining citrius and tropical fruit with green vegetal undertones."
"The Ned Ros 2017 Waihopai River, Marlborough","The sister wine to our best selling Sauvignon Blanc and every bit as delicious."
"Pinot Grigio Superiore 2016 Breganze","Shows delicious floral, honeysuckle aromas and crisp lemongrass and citrus fruit flavours. Good acidity helps create a clean, refreshing wine. Partner with canaps."
"Definition Marlborough Pinot Noir 2016","Ripe blackcurrants and cherries leap from the glass with touches of oak and violet.  The palate has concentrated fruit flavours of blackcurrant and blueberry."
"Pinot Grigio Nottambulo 2017","This is a refreshing citrus and apple flavoured wine with delicate hints of minerality"
"Marea Chardonnay 2016","A fragrant nose with aromas of pineapple, peach, and citrus notes is followed by pineapple and peach on the palate."
"Valpolicella Superiore Ripasso 2014 La Casetta","Full-bodied and velvet smooth, hints of cherries and spices come through on the palate creating a mass of rich and intense flavours."
"Symbiose Piquepoul Sauvignon Blanc 'Cuve Florence' 2016 Ctes de Thau","The combination of the lean, crisp, minerally Piquepoul with Sauvignon Blanc's vibrant tropical influence produces a wine with excellent balance and a refreshing nature."
"Definition Marlborough Sauvignon Blanc 2016","Our Sauvignon Blanc, from Marlborough in New Zealand. Discover intensity of gooseberry, passion fruit and freshly cut grass."
"Chteau Grand Faurie La Rose 2012 St-Emilion Grand Cru","A medium-bodied claret, with a pleasantly spicy and mature nose, with hints of leather and clove against a backdrop of bramble and dried prune fruit."
"Russian Jack Sauvignon Blanc 2016 Marlborough","Typically intense and concentrated, offering a backbone of gooseberry and passion fruit flavours."
"Rioja Reserva 2013 Via Pomal","Bursting with red fruit characters of blackberry and raspberries the palate is clean, intense and persistent.  Perfectly balanced with soft velvety tannins it is delicious from start to finish."
"Beyerskloof Reserve Pinotage 2016 Western Cape","A dark, intense wine, crammed with blackberry and bitter cherry fruit, accented with hints of cedar and smoky, savoury spices."
"Mcon-Lugny 2015 Domaine des Terres Gentilles","A gem of a find, this great quality white shows that there are still producers in Burgundy who offer superb value, even with small-volume production."
"Gavi 2016 Araldica","Zippy, fresh and predominantly citrus-flavoured wine, with a racy lime-zest and nettle aroma."
"A.Gauvin Gevrey Chambertin 2015","This fabulous Gevrey abounds with red cherry flavours and floral and spice notes. "
"Pinot Noir Domaine de Valmoissine 2014 Louis Latour","A medium-bodied Pinot Noir with a velvety textured palate brimming with ripe cherry and strawberry fruits laced with vanilla, leading to a rounded finish."
"Vieux Remparts 2014 Lussac St-Emilion","With juicy black fruit on the nose and palate backed up by a smoky sandalwood character. A great accompaniment to hearty beef dishes and strong cheeses."
"Emilio Moro 2015 Ribera del Duero","A full-bodied red from Ribera del Duero showing real intensity on the palate, with layers of concentrated blackberry, toasted herbs, smoke and vanilla."
"Chteau Musar 2006 Gaston Hochar","Concentrated plum and blackberry fruit, hints of fig, prune, distinct liquorice and spice. Firm but fine tannins, good acidity and body, vibrant and fresh with streaks of cedar and cinnamon."
"Nero Oro Appassimento 2016","This rich fruity wine is made even richer by the use of dried grapes.  Packed with dark fruit flavours that are almost amarone-esque this is a fabulous bargain!"
"S&R Douro Red, 2016","This blend of Tinta Roriz, Touriga Nacional and Touriga Franca combines fresh red and black fruits notes of spices from aging in oak barrels. Deliciously moreish!"
"Marlborough Ridge Sauvignon Blanc 2016 Giesen","Typically vibrant, citrussy and herbal Marlborough Sauvignon."
"Montepulciano d'Abruzzo 2016 Grifone","As seen on TV. The perfect party wine or for drinking with light pork dishes, venison or goose."
"Vialba Reserve Malbec 2015 Mendoza","The Malbec Reserva from the Vinalba estate has previously won a Decanter award for its quality. Great with steak and venison."
"Majestic Loves Sauvignon 2017","This is one zesty Sauvignon with an abundance of mouth watering citrus flavours."
"Peirano Estate Old Vine Zinfandel 2015 Lodi","This serious and complex wine has aromas of  rhubarb and red and black cherry. Flavours are of red cherry, strawberry, cocoa and toast."
"Amarone Classico Vigneti di Roccolo 2013/2014 Cantina Negrar","Brooding, deep, intense aromas of Christmas cake, chocolate, cinnamon, sweet fruits and spice. The concentrated palate offers a thick texture and soft velvety tannins, very rich fruit characteristics."
"Marcelo Pelleriti Malbec 2016 Valle De Uco, Mendoza","Rich yet well balanced with a refreshing acidity that stops the sweet fruit flavour from cloying. Best with a rare steak."
"Edna Valley Pinot Noir 2015","Aromatically complex. Fine yet ample tannins provide a mouth-filling texture and plenty of length."
"Majestic Loves Gruner Veltliner 2016","Our mission was to find the best tasting wines at 5.99. Brilliantly versatile and full of lemon and red apple flavours."
"Kaiken Seleccion Especial Malbec 2016, Mendoza","This wine is bursting with fresh cherry, strawberry and redcurrant flavours."
"Valpolicella Ripasso 2015 Villa Borghetti","This wine is passed is pumped over the pommace from the production of the Estate's Amarone adding a richness and depth to the fine cherry, plum and sweet spice flavours."
"Cloudy Bay Sauvignon Blanc 2017 Marlborough","A wine full of fresh herbal aromas and layers of ripe guava and tropical fruit. Gooseberries and passionfruit on the medium-full body; the palate is succulent and crisp with a long flavoursome finish."
"Majestic Loves Pinot Grigio 2016","Pinot Grigio is a smart buy for fans of the thirst quenching northern Italian style which is not Italian ."
"La Font Reserva 2011 Valencia","Red berry aromas and flavours are followed by elegant toast from the oak ageing.  Well balanced and harmonious the finish is long and velvety."
"Rioja Reserva 2013 Via Egua","Beautifully deep ruby coloured, with subtle cedar hints to the rim. The bouquet is an intense mix of dark fruit, toasted oak and clove aromas. Perfect with lamb and roast beef."
